date,cpi_return
2014-01-01,0.0024212417175743435
2014-02-01,0.0011001732077014898
2014-03-01,0.002039973140248703
2014-04-01,0.0018624501675628673
2014-05-01,0.0019011974817408407
2014-06-01,0.001320260278796452
2014-07-01,0.0011248524027508036
2014-08-01,-0.00016001414896081465
2014-09-01,7.15884422871254e-05
2014-10-01,-0.00019793349078221992
2014-11-01,-0.0018844345845422728
2014-12-01,-0.0030893766581240687
2015-01-01,-0.006390693492487211
2015-02-01,0.002531436888497798
2015-03-01,0.002690329596581885
2015-04-01,0.0010419358923816893
2015-05-01,0.003292319704053215
2015-06-01,0.0027640971717153456
2015-07-01,0.0015850629039942802
2015-08-01,-4.201089342470604e-06
2015-09-01,-0.002250117135272414
2015-10-01,0.000988992802046146
2015-11-01,0.0011939045033511387
2015-12-01,-0.0010761322495167532
